3,#b1f94e,#aaa04a,#5c4031
1,#d355b5,#d3e291,#e44af5
2,#35900f,#c34e41,#efdf88
3,#80d0f1,#20779b,#81aee9
3,#3aa548,#1f329a,#82da3b
3,#b42f27,#d36742,#a56c42
1,#300f0f,#2fb0bf,#e78e8b
1,#c50fbe,#0f6774,#831b56
1,#f79e47,#b450f3,#381484
1,#9111bb,#f54cec,#38d70f
3,#f1ee5b,#0fb4a2,#10c363
3,#56280f,#26853c,#45d353
1,#3d1de7,#ccda70,#dc2aa4
2,#60c756,#c4e13c,#60be7a
2,#2f4c0f,#1c776d,#cb5a94
1,#f626b6,#42755b,#d20fdf
2,#85be22,#6f1620,#a8a59d
1,#e340dd,#de83de,#466210
3,#817867,#6a4a0f,#a31915
1,#a31b9c,#47de2c,#b22af2
2,#9e3caf,#e2d598,#c466c4
3,#337fb6,#9e96bb,#848d98
3,#232e12,#0fd29c,#1eb8cf
1,#cec973,#0fe9de,#911ad4
2,#605d7b,#f4e0f6,#eae73b
3,#83ad24,#0f96ba,#e08a18
1,#3f0f65,#c41f99,#37b535
3,#40d5ed,#a8c246,#d0a699
1,#da8efc,#5535b1,#db5db4
3,#b7a175,#b5d284,#85855b
1,#c123d9,#c15edf,#9fab35
1,#c20f8a,#0f5e1d,#5de854
1,#575721,#4272e4,#bf896b
2,#27c5d8,#d5f10f,#ecd774
3,#7a1f58,#113b56,#846cc7
3,#4cbe10,#a2bd26,#b2a441
1,#8326b9,#7429d4,#c8284c
2,#ca7324,#6eecac,#4b0f37
3,#4a6766,#265a94,#dbe491
2,#88db82,#5bd291,#dad4c5
2,#61a233,#8390cf,#ee9584
3,#47881c,#2aa36e,#d37165
3,#14e743,#8cbe0f,#1a490f
3,#39b615,#94d79e,#0f1748
3,#370fb0,#c0dc82,#56375f
1,#36fdec,#48e9ce,#7d1121
2,#871651,#f96257,#bee271
3,#5f1971,#7aa939,#b9d4bc
1,#e91cf0,#cd8247,#0f90f4
1,#4cd58e,#132aca,#0f1bbb
2,#e8df49,#b11d28,#b60f96
1,#a3aa8c,#34b43b,#e30fb3
3,#b8d76b,#50e16a,#1f3137
2,#6fdda9,#6af214,#cc0f0f
2,#5cf25b,#b33f8a,#19379b
1,#0f27a4,#5ef927,#ce9670
1,#574e79,#1a912f,#f945dc
3,#4e8d18,#0f3f7e,#d0dddc
1,#7d7f3f,#c981de,#806b11
1,#d8d35c,#e223b9,#4bc70f
3,#cb9211,#4a958c,#7bb03f
3,#9bb068,#8da67f,#788f16
3,#10ca6b,#4fa491,#d5da90
2,#0f82c8,#4280c3,#af64d6
1,#45e8f3,#56116a,#11fb25
2,#41b8e7,#69250f,#29d38e
3,#9b1baa,#793851,#afe99c
3,#aba6ce,#88e9a7,#807391
2,#f767b7,#aaed18,#80d9c3
2,#580fdd,#5dc94a,#a8d2db
1,#aaebb2,#ea30b9,#6eb832
1,#2027a9,#12f0a4,#876318
3,#13bad2,#1ffbce,#c3ce80
2,#14bc82,#d296ef,#b64963
2,#e6e60f,#a04cc7,#b0a517
2,#50efbc,#decc6f,#0f390f
2,#28d39b,#58d4f4,#251839
1,#6896b2,#73fa4b,#e99d37
2,#691e45,#d1fcc1,#0f2e9f
3,#290f23,#89bdba,#cac140
1,#d10f45,#ba3170,#7e0f60
1,#8451b6,#ff47c6,#f38ff1
2,#cd9443,#a1f2dc,#4e1669
1,#4cf41c,#40de0f,#4c0fc9
3,#f98961,#b8df61,#618b38
3,#cfe7c8,#9bdf5f,#3cb222
1,#8478da,#97e93e,#772012
1,#d18eea,#c67215,#be20af
1,#c1c912,#be22d6,#0f36fe
2,#4882cf,#53e40f,#1d4a84
1,#d25ebf,#1521c0,#63d1cb
1,#0fd7e6,#8826fd,#abe674
1,#1ae50f,#5b3d21,#711f0f
2,#44d86a,#2740c1,#24d6e7
2,#ed93bb,#c09f1a,#ba422a
3,#b5d93a,#6ba727,#e3ff0f
2,#7f8352,#f3b8de,#e78346
